Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2020-03-19,55.202762603759766,57.23574188881747,52.415983458077136,54.038293418612895,74064000
2020-03-20,53.04465103149414,56.53408464888326,52.741243599649366,56.15767909758059,82878000
2020-03-23,52.3454704284668,52.98009332639704,50.09797110911301,52.4567027625557,83672000
2020-03-24,56.11348342895508,56.278346728286216,53.94940826263607,54.820900000657495,72468000
2020-03-25,54.70370101928711,56.915939950853826,53.779574836331406,55.84383613305106,90324000
2020-03-26,57.74770736694336,58.17277701676787,54.22748827696145,55.35421570523209,76562000
2020-03-27,55.13274383544922,57.15827471437064,54.8218881164996,55.987349858557536,62794000
2020-03-30,56.92289733886719,57.15579193434455,54.54827641714749,56.244080799172416,58736000
2020-03-31,57.69954299926758,58.26811981594767,56.4466827315915,57.04307142091862,65228000
2020-04-01,54.7275390625,56.08418330124457,54.29998788869952,55.81503969905446,51970000
2020-04-02,55.468929290771484,55.753962152647176,54.282115116824485,54.62326044918919,56410000
2020-04-03,54.26075744628906,55.556322408776076,53.38579542668936,55.35372120018309,51374000
2020-04-06,58.754268646240234,59.12967778050272,55.86469805410107,56.26195964457938,63320000
2020-04-07,58.72298049926758,60.620893529545036,58.459300013090534,60.43368148304381,61620000
2020-04-08,59.936607360839844,60.32890210720153,58.79200171253002,59.74294339332252,40334000
2020-04-09,59.91525650024414,60.680975159986424,59.21260232823927,60.49178169677421,54028000
2020-04-13,60.10594177246094,60.3100356670181,58.711559676495355,59.663493971680225,38702000
2020-04-14,62.82816696166992,63.35056110062519,61.00622993352264,61.5738178883097,63358000
2020-04-15,62.43438720703125,63.318786555927836,61.27736634781612,61.898581507399236,42236000
2020-04-16,62.44083786010742,63.23188310736483,61.4859257171919,62.92301259197122,57896000
2020-04-17,63.51195526123047,64.05818710675288,62.86640612379751,63.64602886960057,51050000
2020-04-20,62.62556457519531,63.403698385158826,62.39167738128082,63.05957146388508,35292000
2020-04-21,60.19284439086914,62.07188272751854,59.83729494932787,61.709881356272376,49648000
2020-04-22,62.489501953125,63.555646362524044,61.4362651912693,61.63042545805806,46296000
2020-04-23,63.123130798339844,63.96631807562833,62.594777233741134,62.85349090231504,34202000
2020-04-24,63.39277267456055,63.447892535395646,61.77393695145005,62.32016874850442,37402000
2020-04-27,63.10773849487305,64.2617815012073,62.81972404558168,64.15749740277272,44186000
2020-04-28,61.20734405517578,63.79797366912859,61.09760063818172,63.72051263057229,80700000
2020-04-29,66.64930725097656,67.54165110797575,65.88209975358559,66.78934025502862,108358000
2020-04-30,66.87376403808594,67.03763472110475,65.62239273502772,66.11201957490346,55842000
2020-05-01,65.41482543945312,67.10864836304023,65.03445329453278,65.75100773678034,48872000
2020-05-04,65.69190979003906,65.76987849801317,64.35662178892676,64.95847353570845,30806000
2020-05-05,66.98896789550781,68.08093904283001,66.29426590492336,66.41691697950115,39666000
2020-05-06,66.81070709228516,67.96574284054078,66.79581044461385,67.43490390739927,31732000
2020-05-07,67.9950180053711,68.32872252522532,67.16375346188556,67.59924918810933,30652000
2020-05-08,68.74288177490234,69.35366703992099,68.13060381431362,68.61774539246635,33326000
2020-05-11,69.69877624511719,70.29168699319136,68.30390161747533,68.36795870966984,32718000
2020-05-12,68.28801727294922,70.23210545562377,68.25474607445942,69.92870182776481,33918000
2020-05-13,66.95470428466797,68.79203814843098,65.9456648705068,68.3366751009286,40368000
2020-05-14,67.37828826904297,67.4036110520783,65.711780914762,66.21928222001041,36660000
2020-05-15,68.1827392578125,68.25821509516415,66.49140158987903,66.95123515491863,41544000
2020-05-18,68.78459167480469,69.1609934145914,67.24619845412195,67.61267414754582,47094000
2020-05-19,68.24927520751953,69.14757473329719,68.21749670817653,68.79948120448985,31586000
2020-05-20,69.97538757324219,70.11790592148934,68.89583514267639,68.98223722280092,38262000
2020-05-21,69.855712890625,70.33788392093409,69.2419421674675,70.06625876033819,30894000
2020-05-22,70.177978515625,70.36468668266832,69.31939827034222,69.71417454610717,28544000
2020-05-26,70.5816879272461,71.76056121271995,70.4838671234599,71.60413885227362,44590000
2020-05-27,70.52755737304688,70.77932278907623,69.25235610732692,70.51365333300673,31684000
2020-05-28,70.42626190185547,71.72827870282323,69.47482393143548,69.52050647162248,35170000
2020-05-29,71.1850357055664,71.34443588719381,70.31404407757432,70.53501605536583,37044000
2020-06-01,71.25206756591797,71.5852720478794,70.6268782127255,70.79671210149603,25162000
2020-06-02,71.62151336669922,71.65577716443912,70.5935994345022,71.25851563155427,23442000
2020-06-03,71.46956634521484,71.9542225686685,71.09067933557526,71.64088534545384,27732000
2020-06-04,70.23060607910156,71.57235738789437,69.81894796687253,71.3469073433277,26982000
2020-06-05,71.50779724121094,71.8196493316685,69.89889140911707,70.29714555481402,42642000
